playerId,playerName,teamId,teamName,country,goalsCount,homeGoals,awayGoals,homePenalty,awayPenalty,matchNum,subNum
86278,Toni Leistner,139,Hertha Berlin,Germany,1,0,1,0,0,18,2
80277,Robin Knoche,90,Arminia Bielefeld,Germany,1,0,1,0,0,4,0
38394,Sebastian Jung,487,Karlsruher SC,Germany,1,1,0,0,0,17,1
65486,Stefano Russo,90,Arminia Bielefeld,Germany,1,0,1,0,0,17,0
67414,Adriano Grimaldi,136,Nurnberg,Germany,1,1,0,0,0,18,13
118925,Jan Gyamerah,1076,SV Elversberg,Ghana,1,0,1,0,0,17,1
115764,Carl Johansson,1117,Holstein Kiel,Sweden,1,0,1,0,0,11,0
119367,Paul Seguin,139,Hertha Berlin,Germany,1,1,0,0,0,14,0
120743,Jordy de Wijs,1344,Fortuna Dusseldorf,Netherlands,1,0,1,0,0,6,5
124509,Marvin Schulz,1086,Preuben Munster,Germany,1,1,0,0,0,12,2
129791,Jeremy Dudziak,139,Hertha Berlin,Tunisia,1,0,1,0,0,4,4
125525,Maximilian Bauer,90,Arminia Bielefeld,Germany,1,0,1,0,0,6,0
132847,Jan Elvedi,458,Greuther Furth,Switzerland,1,1,0,0,0,4,1
134742,Jannik Dehm,458,Greuther Furth,Germany,1,1,0,0,0,19,2
135761,Florian Le Joncour,1076,SV Elversberg,France,1,1,0,0,0,14,5
140686,Mael Corboz,90,Arminia Bielefeld,USA,1,1,0,0,0,22,0
139511,Finn Dominik Porath,151,Schalke 04,Germany,1,1,0,0,0,17,11
144960,Dzenis Burnic,487,Karlsruher SC,Bosnia and Herzegovina,1,1,0,0,0,21,5
145435,Niklas Hauptmann,425,Dynamo Dresden,Germany,1,0,1,0,0,20,3
145958,Sam Schreck,90,Arminia Bielefeld,Germany,1,1,0,0,0,9,6
146989,Nikola Katic,151,Schalke 04,Bosnia and Herzegovina,1,1,0,0,0,22,0
146948,Mustapha Bundu,169,Hannover 96,Sierra Leone,1,1,0,0,0,14,2
152746,Raphael Obermair,1720,SC Paderborn 07,Philippines,1,0,1,0,0,20,0
155968,Dejan Ljubicic,151,Schalke 04,Austria,1,1,0,0,0,4,0
156045,Isaiah Young,90,Arminia Bielefeld,USA,1,0,1,0,0,14,12
156790,Christopher Antwi-Adjej,151,Schalke 04,Ghana,1,0,1,0,0,12,4
158549,Lars Bunning,425,Dynamo Dresden,Germany,1,0,1,0,0,11,3
238498,Lasse Rosenboom,1117,Holstein Kiel,Germany,1,1,0,0,0,20,7
238500,Niklas Niehoff,1117,Holstein Kiel,Germany,1,0,1,0,0,19,11
238503,Patrick Nkoa,1116,Eintracht Braunschweig,Cameroon,1,0,1,0,0,14,1
239004,Mats Pannewig,95,VfL Bochum,Germany,1,0,1,0,0,18,5
241789,Klaus Sima Suso,1344,Fortuna Dusseldorf,Germany,1,1,0,0,0,16,6
241910,Jano ter Horst,1086,Preuben Munster,Germany,1,1,0,0,0,21,0
242869,Tim Janisch,136,Nurnberg,Germany,1,0,1,0,0,18,9
239756,Kolja Oudenne,169,Hannover 96,Sweden,1,1,0,0,0,16,5
240472,Maurice Krattenmacher,139,Hertha Berlin,Germany,1,1,0,0,0,17,11
240721,Tjark Scheller,1720,SC Paderborn 07,Germany,1,0,1,0,0,20,1
218560,Fynn Lakenmacher,1080,Darmstadt,Germany,1,1,0,0,0,7,6
218692,Faride Alidou,175,Kaiserslautern,Germany,1,1,0,0,0,11,7
219603,Tim Oberdorf,1344,Fortuna Dusseldorf,Germany,1,0,1,0,0,21,0
220874,Stefano Marino,1720,SC Paderborn 07,Germany,1,0,1,0,0,15,13
221212,Lucas Copado,1720,SC Paderborn 07,Germany,1,1,0,0,0,8,4
215963,Paul Joly,175,Kaiserslautern,France,1,1,0,0,0,18,0
216024,Luca Herrmann,425,Dynamo Dresden,Germany,1,0,1,0,0,18,9
226138,Felix Keidel,1076,SV Elversberg,Germany,1,0,1,0,0,20,9
227168,Jonas Torrissen Therkelsen,1117,Holstein Kiel,Norway,1,0,1,0,0,23,8
227884,Henri Koudossou,136,Nurnberg,Germany,1,0,1,0,0,4,0
233047,Pascal Klemens,139,Hertha Berlin,Germany,1,0,1,0,0,4,1
233998,Louis Koster,1117,Holstein Kiel,Germany,1,1,0,0,0,3,3
237061,Shio Fukuda,487,Karlsruher SC,Japan,1,0,1,0,0,12,11
237501,Callum Marshall,95,VfL Bochum,Northern Ireland,1,1,0,0,0,6,3
285739,Christian Gomis,151,Schalke 04,Senegal,1,0,1,0,0,13,6
269960,Luis Engelns,1720,SC Paderborn 07,Germany,1,0,1,0,0,17,13
282726,Kasper Davidsen,1117,Holstein Kiel,Denmark,1,1,0,0,0,19,6
257302,Omar Sillah,458,Greuther Furth,Germany,1,0,1,0,0,11,11
257716,Benjamin Boakye,90,Arminia Bielefeld,Germany,1,0,1,0,0,18,8
258619,Elias Egouli,1344,Fortuna Dusseldorf,Germany,1,0,1,0,0,13,3
251144,Kofi Jeremy Amoako,425,Dynamo Dresden,Germany,1,0,1,0,0,21,3
253049,Kjell Watjen,95,VfL Bochum,Germany,1,1,0,0,0,19,7
243677,Yassine Bouchama,1086,Preuben Munster,Germany,1,1,0,0,0,16,6
243679,Kennedy Okpala,1720,SC Paderborn 07,Germany,1,0,1,0,0,4,2
247605,Marcus Muller,1117,Holstein Kiel,Germany,1,0,1,0,0,17,13
247665,Luca Sirch,175,Kaiserslautern,Germany,1,0,1,0,0,22,0
240287,Julian Kania,90,Arminia Bielefeld,Germany,1,1,0,1,0,8,7
50280,Sebastian Polter,1116,Eintracht Braunschweig,Germany,1,1,0,1,0,10,9
80277,Robin Knoche,136,Nurnberg,Germany,1,0,1,0,1,11,7
88608,Ibrahim Sissoko,95,VfL Bochum,Mali,1,0,1,0,1,6,6
179712,Richmond Tachie,175,Kaiserslautern,Germany,1,0,1,0,1,11,10
